execution_index,slot_id,dataset,sequence,variant,repetition,order_block,position_in_block,status,ate_rmse_m,replaces_run_id,actual_run_id,notes
97,P15-eee_03-P-LIVO-r2,NTU,eee_03,P-LIVO,2,25,1,VALID,0.029665227352,,P15-eee_03-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.029665; rows=1806
98,P15-eee_03-N-LIO-r2,NTU,eee_03,N-LIO,2,25,2,VALID,0.031571706463,,P15-eee_03-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.031572; rows=1812
99,P15-eee_03-P-LIO-r2,NTU,eee_03,P-LIO,2,25,3,VALID,0.029984326739,,P15-eee_03-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.029984; rows=1808
100,P15-eee_03-N-LIVO-r2,NTU,eee_03,N-LIVO,2,25,4,VALID,0.030212569936,,P15-eee_03-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.030213; rows=1810
101,P15-nya_01-N-LIO-r2,NTU,nya_01,N-LIO,2,26,1,VALID,0.027764369868,,P15-nya_01-N-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.027764; rows=3948
102,P15-nya_01-P-LIO-r2,NTU,nya_01,P-LIO,2,26,2,VALID,0.023256332556,,P15-nya_01-P-LIO-r2,formal_status=VALID; ATE_RMSE_m=0.023256; rows=3944
103,P15-nya_01-N-LIVO-r2,NTU,nya_01,N-LIVO,2,26,3,VALID,0.037964516246,,P15-nya_01-N-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.037965; rows=3945
104,P15-nya_01-P-LIVO-r2,NTU,nya_01,P-LIVO,2,26,4,VALID,0.038835046752,,P15-nya_01-P-LIVO-r2,formal_status=VALID; ATE_RMSE_m=0.038835; rows=3941
105,P15-sbs_03-N-LIVO-r3,NTU,sbs_03,N-LIVO,3,27,1,VALID,0.031160892349,,P15-sbs_03-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.031161; rows=3889
106,P15-sbs_03-P-LIVO-r3,NTU,sbs_03,P-LIVO,3,27,2,VALID,0.028232574714,,P15-sbs_03-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.028233; rows=3885
107,P15-sbs_03-N-LIO-r3,NTU,sbs_03,N-LIO,3,27,3,VALID,0.033383139769,,P15-sbs_03-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.033383; rows=3891
108,P15-sbs_03-P-LIO-r3,NTU,sbs_03,P-LIO,3,27,4,VALID,0.025554175775,,P15-sbs_03-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.025554; rows=3887
109,P15-Church_05-P-LIVO-r3,OXFORD,Church_05,P-LIVO,3,28,1,VALID,0.227300000000,,P15-Church_05-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.227300; rows=3956
110,P15-Church_05-N-LIO-r3,OXFORD,Church_05,N-LIO,3,28,2,VALID,0.226500000000,,P15-Church_05-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.226500; rows=8005
111,P15-Church_05-P-LIO-r3,OXFORD,Church_05,P-LIO,3,28,3,VALID,0.244000000000,,P15-Church_05-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.244000; rows=8001
112,P15-Church_05-N-LIVO-r3,OXFORD,Church_05,N-LIVO,3,28,4,VALID,0.210800000000,,P15-Church_05-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.210800; rows=3959
113,P15-College_03-N-LIO-r3,OXFORD,College_03,N-LIO,3,29,1,VALID,0.054000000000,,P15-College_03-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.054000; rows=2865
114,P15-College_03-P-LIO-r3,OXFORD,College_03,P-LIO,3,29,2,VALID,0.074800000000,,P15-College_03-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.074800; rows=2861
115,P15-College_03-N-LIVO-r3,OXFORD,College_03,N-LIVO,3,29,3,VALID,0.074800000000,,P15-College_03-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.074800; rows=5673
116,P15-College_03-P-LIVO-r3,OXFORD,College_03,P-LIVO,3,29,4,VALID,2.181800000000,,P15-College_03-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=2.181800; rows=5673; ALGORITHM_RED backend_rejected=2814 visual_commits=87/5673
117,P15-Palace_01-P-LIO-r3,OXFORD,Palace_01,P-LIO,3,30,1,INCOMPLETE_TRAJECTORY,111871.772500000006,,P15-Palace_01-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=111871.772500; rows=1419; INCOMPLETE_TRAJECTORY lidar_read=4052
118,P15-Palace_01-N-LIVO-r3,OXFORD,Palace_01,N-LIVO,3,30,2,VALID,0.129700000000,,P15-Palace_01-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.129700; rows=8030
119,P15-Palace_01-P-LIVO-r3,OXFORD,Palace_01,P-LIVO,3,30,3,VALID,1.845100000000,,P15-Palace_01-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=1.845100; rows=8031; ALGORITHM_RED backend_rejected=3980 visual_commits=121/8031
120,P15-Palace_01-N-LIO-r3,OXFORD,Palace_01,N-LIO,3,30,4,VALID,0.147600000000,,P15-Palace_01-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.147600; rows=4051
121,P15-Quarter_01-N-LIVO-r3,OXFORD,Quarter_01,N-LIVO,3,31,1,VALID,0.070900000000,,P15-Quarter_01-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.070900; rows=5736
122,P15-Quarter_01-P-LIVO-r3,OXFORD,Quarter_01,P-LIVO,3,31,2,VALID,5.935400000000,,P15-Quarter_01-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=5.935400; rows=5737; ALGORITHM_RED backend_rejected=2843 visual_commits=74/5737
123,P15-Quarter_01-N-LIO-r3,OXFORD,Quarter_01,N-LIO,3,31,3,VALID,0.062800000000,,P15-Quarter_01-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.062800; rows=2893
124,P15-Quarter_01-P-LIO-r3,OXFORD,Quarter_01,P-LIO,3,31,4,INCOMPLETE_TRAJECTORY,22634.745900000002,,P15-Quarter_01-P-LIO-r3,formal_status=VALID; ATE_RMSE_m=22634.745900; rows=1173; INCOMPLETE_TRAJECTORY lidar_read=2894
125,P15-eee_01-N-LIVO-r3,NTU,eee_01,N-LIVO,3,32,1,VALID,0.028794415818,,P15-eee_01-N-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.028794; rows=3983
126,P15-eee_01-P-LIVO-r3,NTU,eee_01,P-LIVO,3,32,2,VALID,0.052025117016,,P15-eee_01-P-LIVO-r3,formal_status=VALID; ATE_RMSE_m=0.052025; rows=3979
127,P15-eee_01-N-LIO-r3,NTU,eee_01,N-LIO,3,32,3,VALID,0.030760061559,,P15-eee_01-N-LIO-r3,formal_status=VALID; ATE_RMSE_m=0.030760; rows=3985
